SYS_CAT_NEW,area_geo
Area under community-based natural resources management,150126.3068847955
Area under payment for ecosystem services program,112375.1211849602
Buffer zone,130746.2192583432
Conservation agreement,12523.362073355842
Conservation concession,11685.940057055217
Eco-certified production area,26545.07672812566
IPLC-led conservation area,258492.204941908
Indigenous territory,1749718.3348195502
Military training ground,35171.80920923629
Other,2047781.9476741522
Private recreational area,1041.9379001958757
Privately protected area,5281.437763793246
State-designated protected area,1642749.6630889077
State-designated recreational area,0.7633584677675092
State-required sustainable forest production area,604448.0953706754
