SYS_CAT_NEW,ISO_CODE,area_geo
Area under community-based natural resources management,BRA,155612.21959235182
Area under community-based natural resources management,COL,54114.19484976762
Area under community-based natural resources management,ECU,1251.3401528177076
Area under payment for ecosystem services program,BOL,696.5800478897769
Area under payment for ecosystem services program,BRA,10558.098425590437
Area under payment for ecosystem services program,COL,127.10555656866256
Area under payment for ecosystem services program,ECU,0.17579147857730557
Area under payment for ecosystem services program,GUY,76013.84120928853
Area under payment for ecosystem services program,PER,25140.265189989415
Area under payment for ecosystem services program,PRY,22.47610869681132
Buffer zone,GUF,13595.151750609792
Buffer zone,PER,139573.74789504663
Conservation agreement,BOL,873.4824229738192
Conservation agreement,ECU,14222.561675421139
Conservation agreement,VEN,12.54119317934433
Conservation concession,GUY,830.9655352914588
Conservation concession,PER,11985.677154225377
Eco-certified production area,BOL,10143.633575804097
Eco-certified production area,GUF,23713.271202524356
IPLC-led conservation area,BRA,252780.4879812293
IPLC-led conservation area,GUY,6743.9139508626595
Indigenous territory,BOL,211692.9045360506
Indigenous territory,BRA,1175811.69118985
Indigenous territory,COL,319207.54819504055
Indigenous territory,ECU,96106.29296460138
Indigenous territory,GUF,6944.47862857171
Indigenous territory,GUY,32193.58380387679
Indigenous territory,PER,358574.48510787776
Indigenous territory,VEN,19290.913999786408
Military training ground,BRA,36382.61532283593
Other,BOL,3.3133231609122156
Other,BRA,2104948.148855193
Other,COL,55772.07867798548
Other,ECU,30756.606993314646
Other,GUF,4893.954616657797
Other,PER,8835.799010983383
Other,VEN,32502.91873751259
Private recreational area,PER,1063.0738125852306
Privately protected area,BOL,4060.375412242762
Privately protected area,BRA,5368.354958919994
Privately protected area,COL,944.8773217538593
Privately protected area,ECU,77.30036371280342
Privately protected area,PER,3208.4173703267334
State-designated protected area,BOL,251334.1168880102
State-designated protected area,BRA,1225098.1408516285
State-designated protected area,COL,159751.42134237534
State-designated protected area,ECU,50869.74475492974
State-designated protected area,GUF,30191.044544017517
State-designated protected area,GUY,11599.123614315025
State-designated protected area,PER,218235.2517981291
State-designated protected area,SUR,23882.52922498885
State-designated protected area,VEN,260171.0344495527
State-designated recreational area,COL,7.925804503106095
State-designated recreational area,PER,1263.6707127701725
State-required sustainable forest production area,BOL,439195.0821122762
State-required sustainable forest production area,COL,9591.594011397905
State-required sustainable forest production area,ECU,111.56676079987335
State-required sustainable forest production area,PER,175256.20229662498
State-required sustainable forest production area,VEN,122824.64726439952
