SYS_CAT_NEW,area_geo
Area under community-based natural resources management,210977.75459493784
Area under payment for ecosystem services program,112555.46471219236
Buffer zone,153168.8996456578
Conservation agreement,15108.585291574382
Conservation concession,12816.642689517032
Eco-certified production area,33856.904778328506
IPLC-led conservation area,259524.4019320919
Indigenous territory,2218781.2397696166
Military training ground,36382.61532283593
Other,2237712.820214801
Private recreational area,1063.0738125852306
Privately protected area,13659.325426956202
State-designated protected area,2230144.433791419
State-designated recreational area,1271.5965172732576
State-required sustainable forest production area,746880.9986022302
