SYS_CAT_NEW,ISO_CODE,area_geo
Area under community-based natural resources management,BRA,160068.34222576447
Area under community-based natural resources management,COL,55118.78394542307
Area under community-based natural resources management,ECU,1395.679449922692
Area under payment for ecosystem services program,BOL,696.5800478897663
Area under payment for ecosystem services program,BRA,10558.098425590433
Area under payment for ecosystem services program,COL,127.10555656866
Area under payment for ecosystem services program,ECU,4.566371760088332
Area under payment for ecosystem services program,GUY,76016.28606780704
Area under payment for ecosystem services program,PER,25140.26518998933
Buffer zone,GUF,13595.151750609819
Buffer zone,PER,140137.7127323836
Conservation agreement,BOL,873.4824229738612
Conservation agreement,ECU,14222.639646460293
Conservation agreement,VEN,12.54119317934427
Conservation concession,GUY,830.9655352914591
Conservation concession,PER,11985.67715422555
Eco-certified production area,BOL,10143.633575804097
Eco-certified production area,GUF,23713.796191443074
IPLC-led conservation area,BRA,259377.20336850875
IPLC-led conservation area,GUY,6743.9139508626595
Indigenous territory,BOL,211937.89346188106
Indigenous territory,BRA,1176223.7394547448
Indigenous territory,COL,319386.43837814557
Indigenous territory,ECU,96130.06513258813
Indigenous territory,GUF,6952.110283297566
Indigenous territory,GUY,32232.9751793131
Indigenous territory,PER,358722.51091250335
Indigenous territory,VEN,19815.692580781462
Military training ground,BRA,36422.14423171109
Other,BOL,3.3133231609125136
Other,BRA,2106882.992101035
Other,COL,56038.27778423464
Other,ECU,30761.603776935623
Other,GUF,4900.170555036264
Other,PER,8835.799010983394
Other,VEN,33166.06161342116
Private recreational area,PER,1063.0738125852286
Privately protected area,BOL,4080.12705383546
Privately protected area,BRA,5379.466139435554
Privately protected area,COL,945.4771671476501
Privately protected area,ECU,77.30036371280053
Privately protected area,PER,3209.44988040365
State-designated protected area,BOL,252296.47452903955
State-designated protected area,BRA,1284779.6257036591
State-designated protected area,COL,235959.44689746946
State-designated protected area,ECU,178026.1037446041
State-designated protected area,GUF,30514.153080996843
State-designated protected area,GUY,11652.488589338758
State-designated protected area,PER,222167.1658744946
State-designated protected area,SUR,27413.88451971753
State-designated protected area,VEN,268661.5918247542
State-designated recreational area,COL,7.925804503105444
State-designated recreational area,PER,1263.6707127701795
State-required sustainable forest production area,BOL,439358.72410331346
State-required sustainable forest production area,COL,9591.594011397792
State-required sustainable forest production area,ECU,111.5667607998724
State-required sustainable forest production area,PER,175256.20229662507
State-required sustainable forest production area,VEN,123304.32772088509
